,review,ner_review
0,Nobody understands the male friendship & brotherhood better than John Woo.,Nobody understands the male friendship brotherhood better than [DIRECTOR]
1,"john woo just earnestly loves guys being dudes, loads of bros crying their hearts out in the rain and hugging each other and fighting for honor and loyalty and chivalry, it fucking rules","[DIRECTOR] just earnestly loves guys being dudes, loads of bros crying their hearts out in the rain and hugging each other and fighting for honor and loyalty and chivalry, it fucking rules"
2,Brotherhood and ethics vs. blood and fire. The DNA strand to just about every great action melodrama for the next two decades.,Brotherhood and ethics vs blood and fire The DNA strand [ACTOR] just about every great action melodrama for the next two decades
3,"After an up and down decade as a director for hire in the last days of the Shaw Brothers, working alternately in the wuxia and wacky comedy genres, John Woo finally hit it big in 1986 when he teamed up with Tsui Hark and the Cinema City studio to remake Patrick Lung Kong's 1967 drama The Story of a Discharged Prisoner. One of the most influential films of the past 30 years, A Better Tomorrow established the formal and thematic…","After an up and down decade as a director for hire in the last days of the Shaw Brothers, working alternately in the wuxia and wacky comedy genres, [DIRECTOR] finally hit it big in 1986 when he teamed up with [ACTOR] and the Cinema City studio [ACTOR] remake Patrick [ACTOR] Kong 1967 drama The Story of a Discharged Prisoner One of the most influential films of the past 30 years, A Better Tomorrow established the formal and thematic"
4,Somebody told John Woo that ACAB meantAll Cops Are Brosand no one bothered to correct him.,Somebody told [DIRECTOR] that ACAB meantAll Cops Are Brosand no one bothered [ACTOR] correct him
5,"Don’t get me wrong, this is great, but it really needs a beaver with box braids.","Dont get me wrong, this is great, but it really needs a beaver with box braids"
6,"The last time I wrote here about this one, I talked about the relationship to A Story of Discharged Prisoner and Chang Cheh's brotherhood films. Rewatching it today, I was thinking about the signficance of the casting. Ti Lung was, of course, one of Chang Cheh's main leads of the 70se near the end of his leading man days and opposite to him there was Leslie Cheung who was along with Andy Lau, one of the two main romantic heartthrobs…","The last time I wrote here about this one, I talked about the relationship [ACTOR] A Story of Discharged Prisoner and [ACTOR] Cheh brotherhood films Rewatching it today, I was thinking about the signficance of the casting [ACTOR] was, of course, one of [ACTOR] Cheh main leads of the 70se near the end of his leading man days and opposite [ACTOR] him there was [ACTOR] who was along with Andy Lau, one of the two main romantic heartthrobs"
7,Lighting a cigarette with a burning 100 dollar bill is one of the coolest things to ever happen in cinema.You can actually feel John Woo being born over the course of this film. Heroes Shed No Tears started his accession but this helped form it into what would become Woo’s signature style. The Killer a couple of years later would forever solidify it.The first 20 minutes of this play out almost like a comedy before everything goes to…,Lighting a cigarette with a burning 100 dollar bill is one of the coolest things [ACTOR] ever happen in cinema You can actually feel [DIRECTOR] being born over the course of this film Heroes Shed No Tears started his accession but this helped form it into what would become [DIRECTOR] signature style The Killer a couple of years later would forever solidify it The first 20 minutes of this play out almost like a comedy before everything goes [ACTOR]
8,"Finally having seen STORY OF A DISCHARGED PRISONER it seems very clear that Woo took inspiration from its social realism and tried to marry that to a Shaw-style story of martial brotherhood using their shared shifting codes of honor as a bridge. Once the catalyst for those shifts was, say, a splinter clan trying to steal a powerful scroll, but now it's an economic bubble emerging from an influx of cheap foreign money. Either way loyalty and fraternity are the only things that end up having real, intrinsic value.","Finally having seen STORY OF A DISCHARGED PRISONER it seems very clear that [DIRECTOR] took inspiration from its social realism and tried [ACTOR] marry that [ACTOR] a Shawstyle story of martial brotherhood using their shared shifting codes of honor as a bridge Once the catalyst for those shifts was, say, a splinter clan trying [ACTOR] steal a powerful scroll, but now it an economic bubble emerging from an influx of cheap foreign money Either way loyalty and fraternity are the only things that end up having real, intrinsic value"
9,"Chow Yun-Fat light his cigarette with a burning cash not even 5 minutes into the movie, 6 stars","[ACTOR] YunFat light his cigarette with a burning cash not even 5 minutes into the movie, [YEAR] stars"
10,I'm going to have a double feature of this & the pilot to Miami Vice and ascend into heaven one of these days,Im going [ACTOR] have a double feature of this the pilot [ACTOR] Miami Vice and ascend into heaven one of these days
11,Imagine a world where action scenes today were anything like the final scene inA Better Tomorrow.It would be a beautiful world.,Imagine a world where action scenes today were anything like the final scene inA Better Tomorrow It would be a beautiful world
12,"Ambition is hell. Sacrifice is salvation. The iconic image of Chow Yun Fat lighting a cigarette with a counterfeit bill preempts the kind of flaunting, ostentatious cool imagery that would fill gangsta rap videos the next decade. They should've updated the 100 dollar bill to have *that* on the back.","Ambition is hell Sacrifice is salvation The iconic image of [ACTOR] Yun Fat lighting a cigarette with a counterfeit bill preempts the kind of flaunting, ostentatious cool imagery that would fill gangsta rap videos the next decade They shouldve updated the 100 dollar bill [ACTOR] have that on the back"
13,"“Do you believe in god?”“I am the god.”there are few things in this world I love more than Hong Kong action that makes me cry. for all that can be said about Woo’s action photography, how he beautifully conveys a sense of geography and cool through every gesture of his camera, how he’s arguably the greatest director of bullets to ever film on celluloid and how you get a sense of every character through the way they shoot…","Do you believe in god?I am the god there are few things in this world I love more than Hong Kong action that makes me cry for all that can be said about [DIRECTOR] action photography, how he beautifully conveys a sense of geography and cool through every gesture of his camera, how he arguably the greatest director of bullets [ACTOR] ever film on celluloid and how you get a sense of every character through the way they shoot"
14,"John Woo's (heroic bloodshed) movies truly ushered in a new era for action cinema. Chow Yun-Fat is great here, but so are Ting Lung, Waise Lee and Leslie Cheung. Woo would come to refine his ""bullets and melodrama"" formula with each subsequent movie, but this is already an excellent starting point.","[DIRECTOR] heroic bloodshed movies truly ushered in a new era for action cinema [ACTOR] YunFat is great here, but so are Ting Lung, [ACTOR] Lee and [ACTOR] [DIRECTOR] would come [ACTOR] refine his bullets and melodrama formula with each subsequent movie, but this is already an excellent starting point"
15,"ki·net·ic /kəˈnetik/adjectiveof, relating to, or resulting from motion.John Woo’s relationship with Tsui Hark did not last very long, but it produced three of the most iconic films that Hong Kong ever produced (A Better Tomorrow 1 & 2, The Killer). A Better Tomorrow, the first of these, took director Woo from a boring and mundane recent resume to a hyper-kinetic career path that thrust him into the international consciousness. The film also introduced Chow Yun-Fat to the world,…","kinetic knetikadjectiveof, relating to, or resulting from motion [DIRECTOR] relationship with [ACTOR] did not last very long, but it produced three of the most iconic films that Hong Kong ever produced A Better Tomorrow [YEAR] 2, The Killer A Better Tomorrow, the first of these, took director [DIRECTOR] from a boring and mundane recent resume [ACTOR] a hyperkinetic career path that thrust him into the international consciousness The film also introduced [ACTOR] YunFat [ACTOR] the world,"
